,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
276,9,0.1,0.1,0.02,0.5,0.927180768,1.118748738
272,9,0.1,0.1,0,0.99,0.945086941,1.12027424
109,8,0.1,0.01,0,0.9,0.968396771,1.121764955
383,10,0.1,0.001,0.01,0.99,1.009572447,1.121883282
285,9,0.1,0.1,0.05,0.5,0.991043339,1.122767207
420,10,0.1,0.1,0.02,0.5,0.909022089,1.123573801
266,9,0.1,0.01,0.04,0.99,1.015602571,1.125321894
80,8,0.1,0.0001,0.02,0.99,0.990473307,1.125611822
137,8,0.1,0.1,0.03,0.99,0.98691582,1.125829389
429,10,0.1,0.1,0.05,0.5,0.977582281,1.126151238
411,10,0.1,0.01,0.05,0.5,0.994182492,1.126206799
92,8,0.1,0.001,0,0.99,1.02070264,1.126540565
246,9,0.1,0.001,0.04,0.5,0.948472835,1.127083008
282,9,0.1,0.1,0.04,0.5,0.972917509,1.127466845
247,9,0.1,0.001,0.04,0.9,1.008684868,1.127592439
275,9,0.1,0.1,0.01,0.99,0.941400072,1.127868735
226,9,0.1,0.0001,0.03,0.9,0.957674669,1.127871884
240,9,0.1,0.001,0.02,0.5,0.924130966,1.127965673
362,10,0.1,0.0001,0,0.99,0.967880558,1.12806765
123,8,0.1,0.01,0.05,0.5,0.996235537,1.128472926
405,10,0.1,0.01,0.03,0.5,0.917117197,1.128505909
131,8,0.1,0.1,0.01,0.99,0.968917206,1.128512423
390,10,0.1,0.001,0.04,0.5,0.936513229,1.128546828
134,8,0.1,0.1,0.02,0.99,0.993043145,1.128816357
256,9,0.1,0.01,0.01,0.9,0.927423609,1.129153471
402,10,0.1,0.01,0.02,0.5,0.917900342,1.12923508
421,10,0.1,0.1,0.02,0.9,0.982802277,1.12939024
243,9,0.1,0.001,0.03,0.5,0.938245349,1.130172338
257,9,0.1,0.01,0.01,0.99,0.98357126,1.130460708
91,8,0.1,0.001,0,0.9,1.003348197,1.130620362
84,8,0.1,0.0001,0.04,0.5,0.975226034,1.131055152
248,9,0.1,0.001,0.04,0.99,1.003907374,1.131145491
369,10,0.1,0.0001,0.03,0.5,0.934600701,1.131288574
267,9,0.1,0.01,0.05,0.5,0.971397934,1.131542427
97,8,0.1,0.001,0.02,0.9,0.96967825,1.131622303
396,10,0.1,0.01,0,0.5,0.885434057,1.131786797
81,8,0.1,0.0001,0.03,0.5,0.963852998,1.131862977
366,10,0.1,0.0001,0.02,0.5,0.891199326,1.132082977
96,8,0.1,0.001,0.02,0.5,0.916533464,1.132336727
393,10,0.1,0.001,0.05,0.5,0.984107318,1.132855867
408,10,0.1,0.01,0.04,0.5,0.937800712,1.133035404
251,9,0.1,0.001,0.05,0.99,1.048100377,1.133167654
407,10,0.1,0.01,0.03,0.99,0.995257646,1.133594968
406,10,0.1,0.01,0.03,0.9,0.988464873,1.133671562
219,9,0.1,0.0001,0.01,0.5,0.926279221,1.13418044
385,10,0.1,0.001,0.02,0.9,0.954377552,1.134185754
85,8,0.1,0.0001,0.04,0.9,1.003936438,1.134289845
424,10,0.1,0.1,0.03,0.9,1.010323139,1.134324002
113,8,0.1,0.01,0.01,0.99,0.9882713,1.134534247
404,10,0.1,0.01,0.02,0.99,0.954411004,1.134873215
426,10,0.1,0.1,0.04,0.5,0.96446144,1.135014215
278,9,0.1,0.1,0.02,0.99,0.976705573,1.135187291
264,9,0.1,0.01,0.04,0.5,0.941820744,1.135504674
235,9,0.1,0.001,0,0.9,0.958711054,1.135528561
236,9,0.1,0.001,0,0.99,0.957888907,1.135770292
141,8,0.1,0.1,0.05,0.5,0.998180949,1.135804912
258,9,0.1,0.01,0.02,0.5,0.943284631,1.135982006
117,8,0.1,0.01,0.03,0.5,0.962437595,1.136293619
99,8,0.1,0.001,0.03,0.5,0.950180936,1.13630868
281,9,0.1,0.1,0.03,0.99,0.987348995,1.136757533
416,10,0.1,0.1,0,0.99,0.943464053,1.136777378
79,8,0.1,0.0001,0.02,0.9,0.963887509,1.136866088
225,9,0.1,0.0001,0.03,0.5,0.950036888,1.137467745
401,10,0.1,0.01,0.01,0.99,0.955843018,1.137667547
115,8,0.1,0.01,0.02,0.9,0.973093172,1.137674948
220,9,0.1,0.0001,0.01,0.9,0.953494936,1.137986357
263,9,0.1,0.01,0.03,0.99,1.003736354,1.138057445
104,8,0.1,0.001,0.04,0.99,1.006225176,1.138122249
244,9,0.1,0.001,0.03,0.9,1.005014627,1.138148515
372,10,0.1,0.0001,0.04,0.5,0.94333525,1.138490497
120,8,0.1,0.01,0.04,0.5,0.985078408,1.138708206
231,9,0.1,0.0001,0.05,0.5,0.98162402,1.138733774
417,10,0.1,0.1,0.01,0.5,0.910236959,1.138752909
238,9,0.1,0.001,0.01,0.9,1.003577467,1.138759648
370,10,0.1,0.0001,0.03,0.9,0.972580449,1.138784738
89,8,0.1,0.0001,0.05,0.99,1.060510928,1.138822599
367,10,0.1,0.0001,0.02,0.9,1.000683182,1.13903982
410,10,0.1,0.01,0.04,0.99,1.028934636,1.139304967
121,8,0.1,0.01,0.04,0.9,1.010563764,1.139562111
128,8,0.1,0.1,0,0.99,0.971752656,1.1400143
255,9,0.1,0.01,0.01,0.5,0.891267011,1.140177358
371,10,0.1,0.0001,0.03,0.99,1.017882926,1.140300879
227,9,0.1,0.0001,0.03,0.99,1.002292124,1.140318885
392,10,0.1,0.001,0.04,0.99,1.017890001,1.140402735
271,9,0.1,0.1,0,0.9,1.059736257,1.140439671
261,9,0.1,0.01,0.03,0.5,0.931971032,1.140494521
118,8,0.1,0.01,0.03,0.9,1.024505186,1.140555331
239,9,0.1,0.001,0.01,0.99,0.97768608,1.140712444
78,8,0.1,0.0001,0.02,0.5,0.943794503,1.140840191
138,8,0.1,0.1,0.04,0.5,0.978347832,1.141000435
102,8,0.1,0.001,0.04,0.5,0.979762695,1.141082992
400,10,0.1,0.01,0.01,0.9,0.962052883,1.141128633
423,10,0.1,0.1,0.03,0.5,0.939663963,1.141513196
380,10,0.1,0.001,0,0.99,1.009501758,1.141967201
388,10,0.1,0.001,0.03,0.9,0.985778821,1.142102076
287,9,0.1,0.1,0.05,0.99,1.034338731,1.142388201
105,8,0.1,0.001,0.05,0.5,0.978774594,1.142658961
373,10,0.1,0.0001,0.04,0.9,0.998238218,1.142678155
93,8,0.1,0.001,0.01,0.5,0.91277469,1.142687388
422,10,0.1,0.1,0.02,0.99,0.990065118,1.142862072
391,10,0.1,0.001,0.04,0.9,1.018912062,1.14300709
122,8,0.1,0.01,0.04,0.99,1.014469714,1.143008213
279,9,0.1,0.1,0.03,0.5,0.944360019,1.143154626
221,9,0.1,0.0001,0.01,0.99,0.987396201,1.143159475
116,8,0.1,0.01,0.02,0.99,0.992378629,1.143261918
283,9,0.1,0.1,0.04,0.9,1.007049212,1.143353781
386,10,0.1,0.001,0.02,0.99,0.966763206,1.143452044
241,9,0.1,0.001,0.02,0.9,0.950279509,1.143679987
379,10,0.1,0.001,0,0.9,0.978406573,1.14370324
75,8,0.1,0.0001,0.01,0.5,0.911914796,1.143858443
361,10,0.1,0.0001,0,0.9,0.977361376,1.143947917
72,8,0.1,0.0001,0,0.5,0.91176773,1.143981333
254,9,0.1,0.01,0,0.99,1.006991318,1.144006719
364,10,0.1,0.0001,0.01,0.9,0.988007698,1.144259268
126,8,0.1,0.1,0,0.5,0.927633741,1.144264227
193,9,0.01,0.01,0.04,0.9,1.108464778,1.144404673
399,10,0.1,0.01,0.01,0.5,0.928502626,1.144436517
269,9,0.1,0.01,0.05,0.99,1.062830417,1.144459295
375,10,0.1,0.0001,0.05,0.5,0.966186019,1.144481493
381,10,0.1,0.001,0.01,0.5,0.910854083,1.14458285
114,8,0.1,0.01,0.02,0.5,0.960692256,1.144590808
286,9,0.1,0.1,0.05,0.9,1.014187129,1.144699736
409,10,0.1,0.01,0.04,0.9,1.015048424,1.144751613
273,9,0.1,0.1,0.01,0.5,0.915894968,1.144808241
268,9,0.1,0.01,0.05,0.9,1.024534456,1.144870191
249,9,0.1,0.001,0.05,0.5,0.980866264,1.145461183
139,8,0.1,0.1,0.04,0.9,1.016578632,1.145494783
260,9,0.1,0.01,0.02,0.99,0.942618006,1.145704958
419,10,0.1,0.1,0.01,0.99,1.005136951,1.145722391
108,8,0.1,0.01,0,0.5,0.929669244,1.145769617
130,8,0.1,0.1,0.01,0.9,0.980466428,1.145895104
296,10,0.01,0.0001,0.02,0.99,1.099885151,1.145936922
387,10,0.1,0.001,0.03,0.5,0.944626215,1.146141457
389,10,0.1,0.001,0.03,0.99,0.992000431,1.146363144
425,10,0.1,0.1,0.03,0.99,0.99489679,1.146391003
135,8,0.1,0.1,0.03,0.5,0.973306777,1.146599983
222,9,0.1,0.0001,0.02,0.5,0.928532605,1.146690507
280,9,0.1,0.1,0.03,0.9,0.991074236,1.146805175
100,8,0.1,0.001,0.03,0.9,0.991801204,1.146872698
171,9,0.01,0.001,0.03,0.5,1.101717088,1.147014678
398,10,0.1,0.01,0,0.99,0.958922132,1.147034864
274,9,0.1,0.1,0.01,0.9,0.941068139,1.147130022
245,9,0.1,0.001,0.03,0.99,1.00283441,1.14722532
136,8,0.1,0.1,0.03,0.9,1.013249094,1.147505005
427,10,0.1,0.1,0.04,0.9,1.015808171,1.147702078
365,10,0.1,0.0001,0.01,0.99,0.969589277,1.14784342
431,10,0.1,0.1,0.05,0.99,1.037983829,1.147895398
306,10,0.01,0.001,0,0.5,1.102367231,1.148091396
87,8,0.1,0.0001,0.05,0.5,0.975859924,1.148277206
20,8,0.01,0.001,0,0.99,1.103427696,1.148481001
180,9,0.01,0.01,0,0.5,1.098240612,1.148489284
324,10,0.01,0.01,0,0.5,1.101310655,1.148657562
165,9,0.01,0.001,0.01,0.5,1.101818056,1.148660331
356,10,0.01,0.1,0.04,0.99,1.111744324,1.148757178
143,8,0.1,0.1,0.05,0.99,1.043736645,1.148772809
288,10,0.01,0.0001,0,0.5,1.095882412,1.148788999
395,10,0.1,0.001,0.05,0.99,1.033932634,1.14912489
382,10,0.1,0.001,0.01,0.9,0.94533598,1.149167158
328,10,0.01,0.01,0.01,0.9,1.102351746,1.149325432
223,9,0.1,0.0001,0.02,0.9,0.970897516,1.149397097
412,10,0.1,0.01,0.05,0.9,1.021610477,1.149625545
42,8,0.01,0.01,0.02,0.5,1.104398248,1.149761738
142,8,0.1,0.1,0.05,0.9,1.054862632,1.149795636
161,9,0.01,0.0001,0.05,0.99,1.103562012,1.149875068
325,10,0.01,0.01,0,0.9,1.099379542,1.149993225
206,9,0.01,0.1,0.02,0.99,1.111320991,1.150009276
86,8,0.1,0.0001,0.04,0.99,1.039918893,1.150109246
77,8,0.1,0.0001,0.01,0.99,0.998770953,1.150190698
259,9,0.1,0.01,0.02,0.9,0.991661845,1.150299245
3,8,0.01,0.0001,0.01,0.5,1.107311072,1.150384021
188,9,0.01,0.01,0.02,0.99,1.106843391,1.150397039
234,9,0.1,0.001,0,0.5,0.868917164,1.150471733
307,10,0.01,0.001,0,0.9,1.100310172,1.150600288
