,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
0,8,0.001,0.01,0.0,0.5,1.1517884637734186,1.1890443771589099
1,8,0.001,0.01,0.0,0.99,1.1499144267323615,1.1859791671871247
2,8,0.001,0.01,0.01,0.5,1.148446491940674,1.1795809106265436
3,8,0.001,0.01,0.01,0.99,1.1500929679293344,1.1771526928079667
4,8,0.001,0.01,0.02,0.5,1.1563946937523903,1.1789478032479754
5,8,0.001,0.01,0.02,0.99,1.1516453193739946,1.18277346161165
6,8,0.001,0.1,0.0,0.5,1.159145448043994,1.190554259924108
7,8,0.001,0.1,0.0,0.99,1.1674531952966727,1.1961307517474833
8,8,0.001,0.1,0.01,0.5,1.167123392503996,1.185847117282132
9,8,0.001,0.1,0.01,0.99,1.1630681163078422,1.1886768505253669
10,8,0.001,0.1,0.02,0.5,1.1692788843436583,1.2030409793664805
11,8,0.001,0.1,0.02,0.99,1.1656408966086649,1.1925137534264814
12,8,0.002,0.01,0.0,0.5,1.1382775234144302,1.1744329805197333
13,8,0.002,0.01,0.0,0.99,1.1364949258846582,1.1632472754386805
14,8,0.002,0.01,0.01,0.5,1.1348735208712755,1.1683569063879935
15,8,0.002,0.01,0.01,0.99,1.13485847098053,1.1661036834802245
16,8,0.002,0.01,0.02,0.5,1.1366211315184689,1.167584911327619
17,8,0.002,0.01,0.02,0.99,1.1336685750632436,1.173838033686107
18,8,0.002,0.1,0.0,0.5,1.1454976447743797,1.1823078374893765
19,8,0.002,0.1,0.0,0.99,1.1466112599110208,1.181493714147601
20,8,0.002,0.1,0.01,0.5,1.1420073779068853,1.1678202538365856
21,8,0.002,0.1,0.01,0.99,1.137619901285224,1.1811699871537833
22,8,0.002,0.1,0.02,0.5,1.1402486320122054,1.170996712230406
23,8,0.002,0.1,0.02,0.99,1.139394664146442,1.1714235836530484
24,8,0.003,0.01,0.0,0.5,1.131022801616137,1.1691379434561906
25,8,0.003,0.01,0.0,0.99,1.1264088710257063,1.161953468396791
26,8,0.003,0.01,0.01,0.5,1.128412717829755,1.1635985129145867
27,8,0.003,0.01,0.01,0.99,1.130100351257599,1.1614230508236276
28,8,0.003,0.01,0.02,0.5,1.1310986509658265,1.1629698866680662
29,8,0.003,0.01,0.02,0.99,1.1253632957913309,1.1637758187291085
30,8,0.003,0.1,0.0,0.5,1.1347899601794462,1.165947285974186
31,8,0.003,0.1,0.0,0.99,1.132504890973274,1.172065372850596
32,8,0.003,0.1,0.01,0.5,1.132815673315488,1.1648631499641955
33,8,0.003,0.1,0.01,0.99,1.1334326103572827,1.163005728818265
34,8,0.003,0.1,0.02,0.5,1.135689019158344,1.1646898272018302
35,8,0.003,0.1,0.02,0.99,1.1285468735635904,1.1642504875263116
36,8,0.004,0.01,0.0,0.5,1.1221552978502174,1.158538012473778
37,8,0.004,0.01,0.0,0.99,1.1210931517469558,1.154608987066495
38,8,0.004,0.01,0.01,0.5,1.1202035346156078,1.1596059467488335
39,8,0.004,0.01,0.01,0.99,1.1225766987547772,1.1598030806847899
40,8,0.004,0.01,0.02,0.5,1.1263765807602941,1.1600823257724797
41,8,0.004,0.01,0.02,0.99,1.1215062410944314,1.165958998265645
42,8,0.004,0.1,0.0,0.5,1.1282823889246447,1.1658055582653586
43,8,0.004,0.1,0.0,0.99,1.1256830821888204,1.160452872596092
44,8,0.004,0.1,0.01,0.5,1.124633462892856,1.1615560750591187
45,8,0.004,0.1,0.01,0.99,1.1302117923012442,1.1663259471582827
46,8,0.004,0.1,0.02,0.5,1.1310633459326724,1.164105818852463
47,8,0.004,0.1,0.02,0.99,1.1256331315297121,1.1625623766489475
48,8,0.005,0.01,0.0,0.5,1.119154220685727,1.1589655213763541
49,8,0.005,0.01,0.0,0.99,1.121859992415226,1.1604511152338026
50,8,0.005,0.01,0.01,0.5,1.121283612746261,1.164354314819199
51,8,0.005,0.01,0.01,0.99,1.1198609989280062,1.1589795234015563
52,8,0.005,0.01,0.02,0.5,1.123759252766512,1.157571112692097
53,8,0.005,0.01,0.02,0.99,1.1172174207424024,1.1564373567373603
54,8,0.005,0.1,0.0,0.5,1.122054247354284,1.1598760609026888
55,8,0.005,0.1,0.0,0.99,1.125945277924047,1.1610479192925691
56,8,0.005,0.1,0.01,0.5,1.1226374450812164,1.1573760703299234
57,8,0.005,0.1,0.01,0.99,1.123320868520773,1.168104979419774
58,8,0.005,0.1,0.02,0.5,1.1263016867004214,1.1635401070698825
59,8,0.005,0.1,0.02,0.99,1.1250462504936338,1.1635840236848527
60,8,0.01,0.01,0.0,0.5,1.1042095818984494,1.154938046872724
61,8,0.01,0.01,0.0,0.99,1.103770620642781,1.1549377332362414
62,8,0.01,0.01,0.01,0.5,1.0956320860604396,1.1548332766119824
63,8,0.01,0.01,0.01,0.99,1.1100306611340305,1.1537571291834614
64,8,0.01,0.01,0.02,0.5,1.1126563604237496,1.1534071248539488
65,8,0.01,0.01,0.02,0.99,1.106012370894836,1.1540932610948005
66,8,0.01,0.1,0.0,0.5,1.1125510291154894,1.160199809445787
67,8,0.01,0.1,0.0,0.99,1.1083595625559337,1.1572547009080998
68,8,0.01,0.1,0.01,0.5,1.108634334663533,1.1533028353628378
69,8,0.01,0.1,0.01,0.99,1.1121696816278228,1.1598982097742645
70,8,0.01,0.1,0.02,0.5,1.1094770026678402,1.161022176287717
71,8,0.01,0.1,0.02,0.99,1.1099382452456767,1.1551082106440824
72,8,0.02,0.01,0.0,0.5,1.0624517618188754,1.150665272400638
73,8,0.02,0.01,0.0,0.99,1.0707002294741372,1.1567110145731545
74,8,0.02,0.01,0.01,0.5,1.0810326508376558,1.1484618097174106
75,8,0.02,0.01,0.01,0.99,1.0581754063293194,1.1459285753581128
76,8,0.02,0.01,0.02,0.5,1.0704463237453872,1.1509144458966079
77,8,0.02,0.01,0.02,0.99,1.0765032462941033,1.1504241637513606
78,8,0.02,0.1,0.0,0.5,1.079568694260296,1.150361731504794
79,8,0.02,0.1,0.0,0.99,1.0758393341887709,1.1485369419170264
