,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
0,8,0.0001,0.01,0.0,0.5,1.1911055569053282,1.2165145216647655
1,8,0.0001,0.01,0.0,0.99,1.1912159196166063,1.2244877726642014
2,8,0.0001,0.01,0.01,0.5,1.2021588412509312,1.225226031449896
3,8,0.0001,0.01,0.01,0.99,1.2021309448931892,1.2204864809004217
4,8,0.0001,0.01,0.02,0.5,1.2042384890286186,1.212430837596518
5,8,0.0001,0.01,0.02,0.99,1.2093255292812792,1.228089693092227
6,8,0.0001,0.1,0.0,0.5,1.2119132911580863,1.2329249966609015
7,8,0.0001,0.1,0.0,0.99,1.204195872105679,1.2316752924562355
8,8,0.0001,0.1,0.01,0.5,1.1980432283064932,1.2286345091210986
9,8,0.0001,0.1,0.01,0.99,1.218250346257078,1.246518663218185
10,8,0.0001,0.1,0.02,0.5,1.2016663663509204,1.2238066720383962
11,8,0.0001,0.1,0.02,0.99,1.2183442876196204,1.2361016977698427
12,8,0.001,0.01,0.0,0.5,1.156692907639631,1.1904626660183233
13,8,0.001,0.01,0.0,0.99,1.1555397003864774,1.188231640044761
14,8,0.001,0.01,0.01,0.5,1.1562898301539504,1.1907317630836802
15,8,0.001,0.01,0.01,0.99,1.163694934875128,1.1985487393306518
16,8,0.001,0.01,0.02,0.5,1.1531388196114063,1.1792027408297032
17,8,0.001,0.01,0.02,0.99,1.1529656178982528,1.1824145521634761
18,8,0.001,0.1,0.0,0.5,1.1666495273517052,1.1889021195765717
19,8,0.001,0.1,0.0,0.99,1.1615977887693874,1.1927365932726757
20,8,0.001,0.1,0.01,0.5,1.1652729388369223,1.1911028669025217
21,8,0.001,0.1,0.01,0.99,1.164748627648714,1.1979962448837775
22,8,0.001,0.1,0.02,0.5,1.1650154319820987,1.1968286969277155
23,8,0.001,0.1,0.02,0.99,1.1587231744338744,1.1895057073007373
24,8,0.002,0.01,0.0,0.5,1.135412285580107,1.1684364246309522
25,8,0.002,0.01,0.0,0.99,1.1354763024503194,1.1658928286989398
26,8,0.002,0.01,0.01,0.5,1.1359985328027944,1.1658831629485642
27,8,0.002,0.01,0.01,0.99,1.1350056626054454,1.1717164560134161
28,8,0.002,0.01,0.02,0.5,1.1352073017502378,1.1750311101848538
29,8,0.002,0.01,0.02,0.99,1.1387325415926333,1.1697054001073761
30,8,0.002,0.1,0.0,0.5,1.1426879629368976,1.1844842360426084
31,8,0.002,0.1,0.0,0.99,1.1356674881632942,1.1720556633293129
32,8,0.002,0.1,0.01,0.5,1.1404356979553998,1.1731061494200328
33,8,0.002,0.1,0.01,0.99,1.1476576656846076,1.1758781276345784
34,8,0.002,0.1,0.02,0.5,1.144468959231428,1.1703579049429216
35,8,0.002,0.1,0.02,0.99,1.142926232795217,1.1747069459282282
