,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
0,8,0.01,0.0001,0.0,0.5,1.1037539240120615,1.1484449548202442
1,8,0.01,0.0001,0.0,0.99,1.101509432041789,1.1465384503764604
2,8,0.01,0.0001,0.01,0.5,1.1036823319147437,1.148242764683513
3,8,0.01,0.0001,0.01,0.99,1.1064346705523715,1.1580128029858128
4,8,0.01,0.0001,0.02,0.5,1.1060743633016314,1.1530825716294897
5,8,0.01,0.0001,0.02,0.99,1.1096362479005737,1.1548724919044702
6,8,0.01,0.0002,0.0,0.5,1.1033708815114145,1.1518223656825364
7,8,0.01,0.0002,0.0,0.99,1.1102706343025568,1.1618717638449831
8,8,0.01,0.0002,0.01,0.5,1.0965631184450646,1.1503967110134667
9,8,0.01,0.0002,0.01,0.99,1.108958285962543,1.1550048273845492
10,8,0.01,0.0002,0.02,0.5,1.1077615137519776,1.154541246590807
11,8,0.01,0.0002,0.02,0.99,1.1064361566345982,1.1593398776283104
12,8,0.01,0.0003,0.0,0.5,1.0930898335625743,1.1484160236166854
13,8,0.01,0.0003,0.0,0.99,1.1078215129112055,1.1523928662106582
14,8,0.01,0.0003,0.01,0.5,1.1051238122556102,1.16154681948368
15,8,0.01,0.0003,0.01,0.99,1.1043251458604761,1.1544349642854455
16,8,0.01,0.0003,0.02,0.5,1.104340870826107,1.152289973086542
17,8,0.01,0.0003,0.02,0.99,1.1076652865489256,1.1592173230426688
18,8,0.01,0.0004,0.0,0.5,1.1047957087754066,1.1536482930579648
19,8,0.01,0.0004,0.0,0.99,1.1067735722712768,1.1504418093194657
20,8,0.01,0.0004,0.01,0.5,1.0958201806262273,1.1526515263951382
21,8,0.01,0.0004,0.01,0.99,1.1076940914903288,1.1590185920595117
22,8,0.01,0.0004,0.02,0.5,1.1045290893897284,1.1507772344026308
23,8,0.01,0.0004,0.02,0.99,1.1053300401019754,1.15497408754532
24,8,0.01,0.0005,0.0,0.5,1.0995956944961933,1.1546189940661942
25,8,0.01,0.0005,0.0,0.99,1.0964045883572386,1.1479946951245374
26,8,0.01,0.0005,0.01,0.5,1.1078391867635147,1.1608616155999558
27,8,0.01,0.0005,0.01,0.99,1.1026040101948416,1.1620482361023519
28,8,0.01,0.0005,0.02,0.5,1.1041859237058984,1.1564719518160975
29,8,0.01,0.0005,0.02,0.99,1.10553187586954,1.1598412666581293
30,8,0.01,0.001,0.0,0.5,1.1031358957191733,1.1564343405627142
31,8,0.01,0.001,0.0,0.99,1.102988034110799,1.1605049171475041
32,8,0.01,0.001,0.01,0.5,1.1080264640420483,1.1489922161094173
33,8,0.01,0.001,0.01,0.99,1.1053224933561063,1.1518760954074019
34,8,0.01,0.001,0.02,0.5,1.106892307062716,1.1513886241588678
35,8,0.01,0.001,0.02,0.99,1.1092704701044436,1.1545411966388244
36,8,0.01,0.002,0.0,0.5,1.1079544108190613,1.1528183190518273
37,8,0.01,0.002,0.0,0.99,1.1049750928589965,1.1571589390330819
38,8,0.01,0.002,0.01,0.5,1.1082614454845854,1.1603597622108421
39,8,0.01,0.002,0.01,0.99,1.105066654422368,1.1525129780214762
40,8,0.01,0.002,0.02,0.5,1.1083080697936674,1.1509033133540612
41,8,0.01,0.002,0.02,0.99,1.1093380974115206,1.1548543187471623
42,8,0.01,0.003,0.0,0.5,1.108661227875953,1.1540251300504334
43,8,0.01,0.003,0.0,0.99,1.1048765865504429,1.1578218598394423
44,8,0.01,0.003,0.01,0.5,1.1005736712017955,1.1590834183879055
45,8,0.01,0.003,0.01,0.99,1.1118309272299356,1.1548090517566638
46,8,0.01,0.003,0.02,0.5,1.1018530502785755,1.1560559504646404
47,8,0.01,0.003,0.02,0.99,1.10506257176255,1.1521445572701747
48,8,0.01,0.004,0.0,0.5,1.1076655170549459,1.1574309810627235
49,8,0.01,0.004,0.0,0.99,1.1029384569779235,1.152516626284989
50,8,0.01,0.004,0.01,0.5,1.1067654788126247,1.1546723708515472
51,8,0.01,0.004,0.01,0.99,1.1035050890187723,1.1529710230737211
52,8,0.01,0.004,0.02,0.5,1.1047615707179206,1.1559750156503072
53,8,0.01,0.004,0.02,0.99,1.105056518861718,1.1513959841374557
54,8,0.01,0.005,0.0,0.5,1.0997750032128777,1.1470669569986196
55,8,0.01,0.005,0.0,0.99,1.101431781670835,1.1519435852613256
56,8,0.01,0.005,0.01,0.5,1.1047315251598524,1.1586819500733854
57,8,0.01,0.005,0.01,0.99,1.110533579201033,1.1605183454483154
58,8,0.01,0.005,0.02,0.5,1.1079187606847938,1.1563679951940418
59,8,0.01,0.005,0.02,0.99,1.1026973063354177,1.1524827003988731
60,8,0.01,0.01,0.0,0.5,1.1049999040637892,1.1596925912513074
61,8,0.01,0.01,0.0,0.99,1.1040099995235109,1.155056949011165
62,8,0.01,0.01,0.01,0.5,1.1089569268992718,1.1582981338629585
63,8,0.01,0.01,0.01,0.99,1.1064630237310262,1.1576078193939872
64,8,0.01,0.01,0.02,0.5,1.103391164383155,1.1533569560097678
65,8,0.01,0.01,0.02,0.99,1.110664782604,1.15802160528715
66,8,0.01,0.02,0.0,0.5,1.100929424045715,1.158519107854593
67,8,0.01,0.02,0.0,0.99,1.1074696459738507,1.1556162051226677
68,8,0.01,0.02,0.01,0.5,1.109126200763077,1.1600311894357962
69,8,0.01,0.02,0.01,0.99,1.1047859900357084,1.1510215055665063
70,8,0.01,0.02,0.02,0.5,1.1084557999076352,1.156991614012096
71,8,0.01,0.02,0.02,0.99,1.109248113905234,1.1581004273116573
72,8,0.01,0.03,0.0,0.5,1.105510468785915,1.1559431376593732
73,8,0.01,0.03,0.0,0.99,1.109423530441097,1.153211482044322
74,8,0.01,0.03,0.01,0.5,1.1062266305217119,1.160007132675157
75,8,0.01,0.03,0.01,0.99,1.1069547388282632,1.1517871176764347
76,8,0.01,0.03,0.02,0.5,1.106102173351967,1.1553816162733448
77,8,0.01,0.03,0.02,0.99,1.105161648770901,1.1546829100228986
78,8,0.01,0.04,0.0,0.5,1.1076447882178337,1.1578904421567395
79,8,0.01,0.04,0.0,0.99,1.1098391010862505,1.1584569116296781
80,8,0.01,0.04,0.01,0.5,1.1088045363819867,1.1501396602337446
81,8,0.01,0.04,0.01,0.99,1.1074178771199032,1.1551629024186514
82,8,0.01,0.04,0.02,0.5,1.1094137788916323,1.154398253760425
83,8,0.01,0.04,0.02,0.99,1.1090656321781436,1.1539282027092075
84,8,0.01,0.05,0.0,0.5,1.1068224889423846,1.156230814239137
85,8,0.01,0.05,0.0,0.99,1.1074150227252642,1.1553177130046075
86,8,0.01,0.05,0.01,0.5,1.107154994418608,1.1597257947288266
87,8,0.01,0.05,0.01,0.99,1.1117279196640337,1.1538155420186862
88,8,0.01,0.05,0.02,0.5,1.1118399096389875,1.163354443294701
89,8,0.01,0.05,0.02,0.99,1.110012299800441,1.1503455490867762
90,8,0.01,0.1,0.0,0.5,1.1122802997869614,1.1522471706133668
91,8,0.01,0.1,0.0,0.99,1.1092979778651701,1.1580437157616326
92,8,0.01,0.1,0.01,0.5,1.1100570680517077,1.1550728174577907
93,8,0.01,0.1,0.01,0.99,1.1144732202954302,1.1524985006597617
94,8,0.01,0.1,0.02,0.5,1.1101372517748511,1.1516846887884968
95,8,0.01,0.1,0.02,0.99,1.1151756316735089,1.155064638131169
96,8,0.01,0.2,0.0,0.5,1.115790609634383,1.1541464776495287
97,8,0.01,0.2,0.0,0.99,1.1149901721904436,1.160559003745184
98,8,0.01,0.2,0.01,0.5,1.1151107843791301,1.1541748276518633
99,8,0.01,0.2,0.01,0.99,1.1139310131435658,1.1585205899490705
