,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
0,8,0.01,0.01,1e-06,0.5,1.1123433191774976,1.1550567188419136
1,8,0.01,0.01,1e-06,0.99,1.1137984166693828,1.1553867520442
2,8,0.01,0.01,2e-06,0.5,1.1062329859767634,1.148603830766159
3,8,0.01,0.01,2e-06,0.99,1.0989343774637779,1.1549232767862443
4,8,0.01,0.01,3e-06,0.5,1.1035990216271665,1.1566868953942766
5,8,0.01,0.01,3e-06,0.99,1.108198345122773,1.1602684300951558
6,8,0.01,0.01,4e-06,0.5,1.1096699828765788,1.156342391812139
7,8,0.01,0.01,4e-06,0.99,1.101656108795629,1.156998909113294
8,8,0.01,0.01,5e-06,0.5,1.1053545072094126,1.151574209296684
9,8,0.01,0.01,5e-06,0.99,1.0953520219014516,1.1487265509228846
10,8,0.01,0.01,1e-05,0.5,1.1074021716072338,1.1578124089269404
11,8,0.01,0.01,1e-05,0.99,1.095400789292794,1.1515085745616738
12,8,0.01,0.01,2e-05,0.5,1.1055864029666695,1.1608112940338702
13,8,0.01,0.01,2e-05,0.99,1.110209929692434,1.1598020455710074
14,8,0.01,0.01,3e-05,0.5,1.107893290164164,1.155396964175622
15,8,0.01,0.01,3e-05,0.99,1.1031491150953805,1.1569971447953562
16,8,0.01,0.01,4e-05,0.5,1.1008737982031422,1.1539283258573643
17,8,0.01,0.01,4e-05,0.99,1.1043972020046282,1.158857862065336
18,8,0.01,0.01,5e-05,0.5,1.1045219126277517,1.153149428752108
19,8,0.01,0.01,5e-05,0.99,1.1084041781110596,1.1503982542954723
20,8,0.01,0.01,0.0001,0.5,1.1092528642816708,1.1544222959710826
21,8,0.01,0.01,0.0001,0.99,1.105403949925243,1.1529619641959683
22,8,0.01,0.01,0.0002,0.5,1.1049895581713742,1.152557668140592
23,8,0.01,0.01,0.0002,0.99,1.1057616479384367,1.1582948491287741
24,8,0.01,0.01,0.0003,0.5,1.101001520676106,1.1576159878121033
25,8,0.01,0.01,0.0003,0.99,1.1077942356832184,1.148938702031946
26,8,0.01,0.01,0.0004,0.5,1.102249454507718,1.1597274802566608
27,8,0.01,0.01,0.0004,0.99,1.1079694233757795,1.1535712191921377
28,8,0.01,0.01,0.0005,0.5,1.1046930924540042,1.157808891864248
29,8,0.01,0.01,0.0005,0.99,1.109162152894301,1.1592431093846218
30,8,0.01,0.01,0.001,0.5,1.1039136955075344,1.1530220474733963
31,8,0.01,0.01,0.001,0.99,1.1026182243103126,1.146262475766197
32,8,0.01,0.01,0.002,0.5,1.106168316038312,1.1508895440761042
33,8,0.01,0.01,0.002,0.99,1.1077008628298863,1.1563096381035387
34,8,0.01,0.01,0.003,0.5,1.1067017336407616,1.1552317042849227
35,8,0.01,0.01,0.003,0.99,1.104048112283798,1.1573990091981994
36,8,0.01,0.01,0.004,0.5,1.1058680100623979,1.1526965040180879
37,8,0.01,0.01,0.004,0.99,1.111179457151235,1.1535978002354952
38,8,0.01,0.01,0.005,0.5,1.1036851769801572,1.150487326054282
39,8,0.01,0.01,0.005,0.99,1.1086946820231678,1.1517377388412084
40,8,0.01,0.01,1.0,0.5,1.1458397933248172,1.1824095035507018
41,8,0.01,0.01,1.0,0.99,1.1449799653679575,1.184302551434405
42,8,0.01,0.01,2.0,0.5,1.1701523226494275,1.1992260984952283
43,8,0.01,0.01,2.0,0.99,1.1586263866016087,1.1915271943142922
44,8,0.01,0.01,3.0,0.5,1.180216151782365,1.2118568563611039
45,8,0.01,0.01,3.0,0.99,1.170718718358619,1.1997883956722328
46,8,0.01,0.01,4.0,0.5,1.185341534296772,1.213168501863014
47,8,0.01,0.01,4.0,0.99,1.1752042195041092,1.2057657794282364
48,8,0.01,0.01,5.0,0.5,1.1902351011472296,1.217433093915121
49,8,0.01,0.01,5.0,0.99,1.1673755126453622,1.1995800235871503
50,8,0.01,0.1,1e-06,0.5,1.1106760833170453,1.1498873149052127
51,8,0.01,0.1,1e-06,0.99,1.1077574630066531,1.1590986619374126
52,8,0.01,0.1,2e-06,0.5,1.1141212145061992,1.1519459215069803
53,8,0.01,0.1,2e-06,0.99,1.1122056332152568,1.1561858960813594
54,8,0.01,0.1,3e-06,0.5,1.1102124432384806,1.1592434219091587
55,8,0.01,0.1,3e-06,0.99,1.117011967111891,1.1533485220576036
