,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
0,8,0.01,0.01,0.0,0.0001,1.1026560896484492,1.1546792308128113
1,8,0.01,0.01,0.0,0.0002,1.0983038373844578,1.1557803113782137
2,8,0.01,0.01,0.0,0.0003,1.1035132550180664,1.145663827977684
3,8,0.01,0.01,0.0,0.0004,1.0950022576530845,1.1489603316359638
4,8,0.01,0.01,0.0,0.0005,1.104312753442941,1.1500945338102433
5,8,0.01,0.01,0.0,0.001,1.105473222216373,1.1586563929419422
6,8,0.01,0.01,0.0,0.002,1.1046538073609335,1.1560390679020474
7,8,0.01,0.01,0.0,0.003,1.1071963473510933,1.1569583926314648
8,8,0.01,0.01,0.0,0.004,1.0949215950941997,1.1532774201922806
9,8,0.01,0.01,0.0,0.005,1.1044122309531184,1.1509730134337182
10,8,0.01,0.01,0.0,0.01,1.1065350585533327,1.153919410879311
11,8,0.01,0.01,0.0,0.02,1.1003499824629532,1.1597471111506132
12,8,0.01,0.01,0.0,0.03,1.1026839881474721,1.1560136184959937
13,8,0.01,0.01,0.0,0.04,1.0926307290172448,1.1586038847615912
14,8,0.01,0.01,0.0,0.05,1.096422275815898,1.1483184575542733
15,8,0.01,0.01,0.0,0.1,1.1015641771385842,1.1560660481307132
16,8,0.01,0.01,0.0,0.2,1.1046311887699158,1.1527961280294747
17,8,0.01,0.01,0.0,0.3,1.1042314780012725,1.1546676261773805
18,8,0.01,0.01,0.0,0.4,1.1031457296812945,1.1594732058326336
19,8,0.01,0.01,0.0,0.5,1.1007546792973781,1.1533734532192217
20,8,0.01,0.01,0.0,1.0,1.102854286091682,1.1476327703429594
21,8,0.01,0.01,0.0,2.0,1.1089852719883009,1.151504447391681
22,8,0.01,0.01,0.0,3.0,1.1114967271164242,1.144870716379621
23,8,0.01,0.01,0.0,4.0,1.118135095950182,1.1613356315442394
24,8,0.01,0.01,0.0,5.0,1.1268684165530967,1.160218021691911
25,8,0.01,0.01,0.0,10.0,1.1137279167541798,1.1604716554278236
26,8,0.01,0.01,0.0,20.0,1.1121725414394033,1.157028023918048
27,8,0.01,0.01,0.0,30.0,1.1172698021563534,1.1571477346298438
28,8,0.01,0.01,0.0,40.0,1.114599804987809,1.1609596097874548
29,8,0.01,0.01,0.0,50.0,1.1161458331284297,1.1599746299661862
30,8,0.01,0.01,0.01,0.0001,1.1051066819247717,1.1489159974719487
31,8,0.01,0.01,0.01,0.0002,1.1110941134219652,1.1584767849519757
32,8,0.01,0.01,0.01,0.0003,1.1019036611507913,1.1543078757351173
33,8,0.01,0.01,0.01,0.0004,1.1079341492708326,1.160161700668718
34,8,0.01,0.01,0.01,0.0005,1.1081933838685483,1.1539983629544752
35,8,0.01,0.01,0.01,0.001,1.105297989291538,1.1530700894012444
36,8,0.01,0.01,0.01,0.002,1.111336444190067,1.1627072716410423
37,8,0.01,0.01,0.01,0.003,1.1081570687999422,1.156256311786452
38,8,0.01,0.01,0.01,0.004,1.1090723833165304,1.1537336294692049
39,8,0.01,0.01,0.01,0.005,1.1085467383792602,1.1621992601522158
40,8,0.01,0.01,0.01,0.01,1.1060946818217616,1.1586579841123448
41,8,0.01,0.01,0.01,0.02,1.102137727649959,1.1577276710905091
42,8,0.01,0.01,0.01,0.03,1.1079554209758766,1.1560491668739923
43,8,0.01,0.01,0.01,0.04,1.101959002381167,1.153372106176346
44,8,0.01,0.01,0.01,0.05,1.1016392278170997,1.1601394880882452
45,8,0.01,0.01,0.01,0.1,1.1052330498446163,1.1572900458172077
46,8,0.01,0.01,0.01,0.2,1.1042995300590757,1.1578645254747173
47,8,0.01,0.01,0.01,0.3,1.1066087954111468,1.1593988996626916
48,8,0.01,0.01,0.01,0.4,1.1021960533138828,1.1541279077403626
49,8,0.01,0.01,0.01,0.5,1.1055193362665423,1.1514456488237264
50,8,0.01,0.01,0.01,1.0,1.1093375449839493,1.160769203242055
51,8,0.01,0.01,0.01,2.0,1.1093104744481057,1.160878072730222
52,8,0.01,0.01,0.01,3.0,1.1221841418752643,1.1547129152595248
53,8,0.01,0.01,0.01,4.0,1.1119566892508697,1.1549238402621493
54,8,0.01,0.01,0.01,5.0,1.1216931908631302,1.1624825259573341
55,8,0.01,0.01,0.01,10.0,1.115117604047296,1.1570554972962304
56,8,0.01,0.01,0.01,20.0,1.114453006607256,1.1572914658945068
57,8,0.01,0.01,0.01,30.0,1.1107232916684828,1.156621741856993
58,8,0.01,0.01,0.01,40.0,1.1152083931787786,1.1574595233731786
59,8,0.01,0.01,0.01,50.0,1.1143419407962571,1.161219672654601
60,8,0.01,0.01,0.02,0.0001,1.1074785724366465,1.1552729503988401
61,8,0.01,0.01,0.02,0.0002,1.1023075226909331,1.1546409105161335
62,8,0.01,0.01,0.02,0.0003,1.112798976204914,1.1583189672131797
63,8,0.01,0.01,0.02,0.0004,1.1109597456426579,1.158230155054078
64,8,0.01,0.01,0.02,0.0005,1.105731198208349,1.1530591268181505
65,8,0.01,0.01,0.02,0.001,1.110177388061064,1.147974957059714
66,8,0.01,0.01,0.02,0.002,1.1054495120442436,1.1510818042239848
67,8,0.01,0.01,0.02,0.003,1.1077019654771565,1.1506239602801616
68,8,0.01,0.01,0.02,0.004,1.1052391070414092,1.1506350833990242
69,8,0.01,0.01,0.02,0.005,1.1112728095825726,1.1550681843291324
70,8,0.01,0.01,0.02,0.01,1.1019516493136012,1.161113934638045
71,8,0.01,0.01,0.02,0.02,1.1128724612505692,1.158180830267858
72,8,0.01,0.01,0.02,0.03,1.1062155836576284,1.1555762976148234
73,8,0.01,0.01,0.02,0.04,1.1052758542597614,1.154816050958456
74,8,0.01,0.01,0.02,0.05,1.1070412937835037,1.1530017488259428
75,8,0.01,0.01,0.02,0.1,1.1078143533295217,1.1575346266615212
76,8,0.01,0.01,0.02,0.2,1.1111087903511387,1.1520867596673783
77,8,0.01,0.01,0.02,0.3,1.110584249254589,1.156094771583548
78,8,0.01,0.01,0.02,0.4,1.1073637821057254,1.1525458370180421
79,8,0.01,0.01,0.02,0.5,1.105808204313584,1.1524218950122431
80,8,0.01,0.01,0.02,1.0,1.1101027982488396,1.1501530615096374
81,8,0.01,0.01,0.02,2.0,1.1108502903798012,1.1558207640364626
82,8,0.01,0.01,0.02,3.0,1.1063288815135561,1.1589105572688714
83,8,0.01,0.01,0.02,4.0,1.107857209327201,1.1562241915191565
84,8,0.01,0.01,0.02,5.0,1.1133971509736384,1.1615668248060966
85,8,0.01,0.01,0.02,10.0,1.1189672907872843,1.161218979758472
86,8,0.01,0.01,0.02,20.0,1.1267336665082421,1.1616798411088811
87,8,0.01,0.01,0.02,30.0,1.117117487402551,1.156708731153862
88,8,0.01,0.01,0.02,40.0,1.118059498926384,1.1621500471198987
89,8,0.01,0.01,0.02,50.0,1.1222878669763852,1.1590273451183422
90,8,0.01,0.1,0.0,0.0001,1.1083718268613023,1.1510306615845671
91,8,0.01,0.1,0.0,0.0002,1.1045400286519393,1.153181744599112
92,8,0.01,0.1,0.0,0.0003,1.1086947811742358,1.1586298278558467
93,8,0.01,0.1,0.0,0.0004,1.107836779634019,1.1552049644933284
94,8,0.01,0.1,0.0,0.0005,1.1136130933815844,1.151150214764983
95,8,0.01,0.1,0.0,0.001,1.1086947331944945,1.15998403600024
96,8,0.01,0.1,0.0,0.002,1.1114204460811048,1.157341934756697
97,8,0.01,0.1,0.0,0.003,1.108544561479046,1.1516957334153786
98,8,0.01,0.1,0.0,0.004,1.1109304103381235,1.1554419718056077
99,8,0.01,0.1,0.0,0.005,1.1086766040912335,1.1540604351808432
100,8,0.01,0.1,0.0,0.01,1.1116004258659862,1.1548443359789862
101,8,0.01,0.1,0.0,0.02,1.1098346317524845,1.159693227244567
102,8,0.01,0.1,0.0,0.03,1.1097351850532702,1.1589357388969856
103,8,0.01,0.1,0.0,0.04,1.1095729226129516,1.1578064372200185
104,8,0.01,0.1,0.0,0.05,1.109760164937495,1.1605319363714002
105,8,0.01,0.1,0.0,0.1,1.110441359935891,1.15531602474671
106,8,0.01,0.1,0.0,0.2,1.1138320577913992,1.1582537448289385
107,8,0.01,0.1,0.0,0.3,1.113301189692093,1.1482854946319907
108,8,0.01,0.1,0.0,0.4,1.112979055943178,1.1598287107218799
109,8,0.01,0.1,0.0,0.5,1.10651086306312,1.1538373521115926
110,8,0.01,0.1,0.0,1.0,1.1126544070812932,1.1571745828410678
111,8,0.01,0.1,0.0,2.0,1.1106228459096705,1.153005139873957
112,8,0.01,0.1,0.0,3.0,1.1118228040672993,1.1528586921047048
113,8,0.01,0.1,0.0,4.0,1.1177373151342895,1.1510567881567406
114,8,0.01,0.1,0.0,5.0,1.1149637079917882,1.1545961646292664
115,8,0.01,0.1,0.0,10.0,1.1208847465950922,1.1573904828373462
116,8,0.01,0.1,0.0,20.0,1.119709843422109,1.159106870345236
117,8,0.01,0.1,0.0,30.0,1.1385055381473,1.1673896241495338
118,8,0.01,0.1,0.0,40.0,1.119134801751662,1.1593128226057658
119,8,0.01,0.1,0.0,50.0,1.1169411290655213,1.155612328899885
120,8,0.01,0.1,0.01,0.0001,1.1106092938900562,1.1589242363406336
121,8,0.01,0.1,0.01,0.0002,1.1107617182692424,1.1604966853340548
122,8,0.01,0.1,0.01,0.0003,1.1115067491929336,1.1569779173446622
123,8,0.01,0.1,0.01,0.0004,1.1109419831256921,1.1590125928652204
124,8,0.01,0.1,0.01,0.0005,1.112751144378003,1.1582554903963709
125,8,0.01,0.1,0.01,0.001,1.1141990923412597,1.153378875342277
126,8,0.01,0.1,0.01,0.002,1.1111797634461924,1.15874511719675
127,8,0.01,0.1,0.01,0.003,1.1153086587336616,1.1615248728956182
128,8,0.01,0.1,0.01,0.004,1.1142021064724985,1.1557034792386105
129,8,0.01,0.1,0.01,0.005,1.1142944787444498,1.1543615924232173
130,8,0.01,0.1,0.01,0.01,1.1108691899164143,1.156744452268056
131,8,0.01,0.1,0.01,0.02,1.1139400722234103,1.155263739090387
132,8,0.01,0.1,0.01,0.03,1.1126138500721356,1.157276663184758
133,8,0.01,0.1,0.01,0.04,1.1107195062383692,1.158826150470921
134,8,0.01,0.1,0.01,0.05,1.1114405181957787,1.158246577901539
135,8,0.01,0.1,0.01,0.1,1.1126411679726336,1.1514860299718646
136,8,0.01,0.1,0.01,0.2,1.1122075794974493,1.1517032618564047
137,8,0.01,0.1,0.01,0.3,1.1156271042784256,1.1534929407382617
138,8,0.01,0.1,0.01,0.4,1.1148817733364729,1.1527914110202893
139,8,0.01,0.1,0.01,0.5,1.1136336422403903,1.1488281086253451
140,8,0.01,0.1,0.01,1.0,1.1142763689430117,1.1516648565844751
141,8,0.01,0.1,0.01,2.0,1.1144431287720638,1.1580621938188504
142,8,0.01,0.1,0.01,3.0,1.1184849255279,1.1552228076891697
143,8,0.01,0.1,0.01,4.0,1.113740135242626,1.160889861592182
144,8,0.01,0.1,0.01,5.0,1.1173956612138827,1.1534555288112027
145,8,0.01,0.1,0.01,10.0,1.1204503221614173,1.1559463879500447
146,8,0.01,0.1,0.01,20.0,1.1291255918784504,1.1613351856218108
147,8,0.01,0.1,0.01,30.0,1.1284310967560152,1.155672810854823
148,8,0.01,0.1,0.01,40.0,1.1191567165283802,1.1590572067303326
149,8,0.01,0.1,0.01,50.0,1.1255205111416726,1.1630869331984537
150,8,0.01,0.1,0.02,0.0001,1.1124853995727872,1.1494988115728553
151,8,0.01,0.1,0.02,0.0002,1.1129216939940088,1.158489883949621
152,8,0.01,0.1,0.02,0.0003,1.1144212085525083,1.157754681241079
153,8,0.01,0.1,0.02,0.0004,1.1108937772892242,1.1581285605464975
154,8,0.01,0.1,0.02,0.0005,1.1140955891947097,1.1592092704515473
155,8,0.01,0.1,0.02,0.001,1.116236632806837,1.1613101220813362
156,8,0.01,0.1,0.02,0.002,1.1117644662359738,1.1569758070130218
157,8,0.01,0.1,0.02,0.003,1.1112254644894326,1.1585415079004322
158,8,0.01,0.1,0.02,0.004,1.112881613543619,1.157964050917502
159,8,0.01,0.1,0.02,0.005,1.1126389724160797,1.1598983604482573
160,8,0.01,0.1,0.02,0.01,1.1060801741418491,1.1543623498597708
161,8,0.01,0.1,0.02,0.02,1.113125471604909,1.1540041937652947
162,8,0.01,0.1,0.02,0.03,1.116402379159933,1.1573152945714773
163,8,0.01,0.1,0.02,0.04,1.111922898133141,1.1559801321065646
164,8,0.01,0.1,0.02,0.05,1.1136465701919451,1.1553134921799206
165,8,0.01,0.1,0.02,0.1,1.1142708314279905,1.1632333062891984
166,8,0.01,0.1,0.02,0.2,1.1119919492723334,1.1585572226166172
167,8,0.01,0.1,0.02,0.3,1.1138813466323865,1.1589810555912863
168,8,0.01,0.1,0.02,0.4,1.1152684532182005,1.1606524973770163
169,8,0.01,0.1,0.02,0.5,1.116484150218831,1.1641870728220014
170,8,0.01,0.1,0.02,1.0,1.1129924236150917,1.1561984292115808
171,8,0.01,0.1,0.02,2.0,1.1147405473564234,1.1574375673902075
172,8,0.01,0.1,0.02,3.0,1.1127739838615986,1.1574091462806493
173,8,0.01,0.1,0.02,4.0,1.1150124393294494,1.1535611275637097
174,8,0.01,0.1,0.02,5.0,1.1167755807563076,1.157236204812936
175,8,0.01,0.1,0.02,10.0,1.1289019427121323,1.164905908831399
176,8,0.01,0.1,0.02,20.0,1.118493189763811,1.1570155414262377
177,8,0.01,0.1,0.02,30.0,1.1194779713341112,1.1574878608760721
178,8,0.01,0.1,0.02,40.0,1.1254651645304843,1.1581226247035366
179,8,0.01,0.1,0.02,50.0,1.1185894773464433,1.1556173377836048
180,8,0.1,0.01,0.0,0.0001,0.8647582598063527,1.1456150809333714
181,8,0.1,0.01,0.0,0.0002,0.8678960933303342,1.1469362290687497
182,8,0.1,0.01,0.0,0.0003,0.8575675834144536,1.1439047929503923
183,8,0.1,0.01,0.0,0.0004,0.8656448474480892,1.1533248369484612
184,8,0.1,0.01,0.0,0.0005,0.8598592359485706,1.1500363888222036
185,8,0.1,0.01,0.0,0.001,0.8750101628350747,1.161753586120858
186,8,0.1,0.01,0.0,0.002,0.8845583296029197,1.1513848559496467
187,8,0.1,0.01,0.0,0.003,0.8713563399564007,1.1510444379983298
188,8,0.1,0.01,0.0,0.004,0.8800871950511583,1.1585895006396683
189,8,0.1,0.01,0.0,0.005,0.8549202372941556,1.154025926616931
190,8,0.1,0.01,0.0,0.01,0.8573248885294138,1.1562639942153483
191,8,0.1,0.01,0.0,0.02,0.8894620822529765,1.1404765442276206
192,8,0.1,0.01,0.0,0.03,0.8489160335451424,1.1501599832768894
193,8,0.1,0.01,0.0,0.04,0.8586404984440363,1.1598532324946478
194,8,0.1,0.01,0.0,0.05,0.8928215245512918,1.1423315954483308
195,8,0.1,0.01,0.0,0.1,0.8791334057176542,1.1598890923753362
196,8,0.1,0.01,0.0,0.2,0.8765843865691162,1.170634227042753
197,8,0.1,0.01,0.0,0.3,0.8834164348373905,1.1580249998863437
198,8,0.1,0.01,0.0,0.4,0.8584880113244862,1.1442463495895876
199,8,0.1,0.01,0.0,0.5,0.8807026664962101,1.149823007754008
200,8,0.1,0.01,0.0,1.0,0.9695297096132094,1.157299046317904
201,8,0.1,0.01,0.0,2.0,1.098345536771196,1.1631156425880276
202,8,0.1,0.01,0.0,3.0,1.0694648841727472,1.1810330528998119
203,8,0.1,0.01,0.0,4.0,1.098752649130136,1.176758445068496
204,8,0.1,0.01,0.0,5.0,1.1083585118325925,1.1741538558595637
205,8,0.1,0.01,0.0,10.0,1.1158087997729829,1.182328526250934
206,8,0.1,0.01,0.0,20.0,1.1202847667600004,1.1850926369020334
207,8,0.1,0.01,0.0,30.0,1.121430038274789,1.1884410216799581
208,8,0.1,0.01,0.0,40.0,1.1219628006067845,1.1903941043706117
209,8,0.1,0.01,0.0,50.0,1.1262729952694888,1.1816041779435005
210,8,0.1,0.01,0.01,0.0001,0.8837763891514928,1.1504420236699469
211,8,0.1,0.01,0.01,0.0002,0.8743688790374544,1.1365245755443958
212,8,0.1,0.01,0.01,0.0003,0.8928013621901004,1.1487033040908141
213,8,0.1,0.01,0.01,0.0004,0.8873862100538166,1.1379801917688492
214,8,0.1,0.01,0.01,0.0005,0.8984992682755673,1.138946116018986
215,8,0.1,0.01,0.01,0.001,0.9094774088218243,1.1374920317573605
216,8,0.1,0.01,0.01,0.002,0.8845044530490723,1.1447622813741654
217,8,0.1,0.01,0.01,0.003,0.8880326101137326,1.1412681481901645
218,8,0.1,0.01,0.01,0.004,0.8973607634469933,1.1345203054973547
219,8,0.1,0.01,0.01,0.005,0.8962262886056209,1.1473361256140258
220,8,0.1,0.01,0.01,0.01,0.8994435207691581,1.1539225934778572
221,8,0.1,0.01,0.01,0.02,0.8994279877313979,1.148023340018617
222,8,0.1,0.01,0.01,0.03,0.9140511031005352,1.1485712824890875
223,8,0.1,0.01,0.01,0.04,0.885781622832635,1.1517070179751479
224,8,0.1,0.01,0.01,0.05,0.9017934317247784,1.1508406036457075
225,8,0.1,0.01,0.01,0.1,0.9088949064396878,1.1471344829626768
226,8,0.1,0.01,0.01,0.2,0.8948038805578744,1.1297902494523866
227,8,0.1,0.01,0.01,0.3,0.892940638955301,1.1465076767843578
228,8,0.1,0.01,0.01,0.4,0.9091539947541526,1.140353734029448
229,8,0.1,0.01,0.01,0.5,0.9272266216965419,1.1402170035352208
230,8,0.1,0.01,0.01,1.0,0.9550525739205217,1.1494487194417926
231,8,0.1,0.01,0.01,2.0,1.022385810657108,1.1313592341470173
232,8,0.1,0.01,0.01,3.0,1.0718558259649444,1.163219043655617
233,8,0.1,0.01,0.01,4.0,1.1095653175846585,1.161112730304146
234,8,0.1,0.01,0.01,5.0,1.101887388062702,1.163083080875727
235,8,0.1,0.01,0.01,10.0,1.10793037879061,1.1628722601555932
236,8,0.1,0.01,0.01,20.0,1.11612214417305,1.1653772890715908
237,8,0.1,0.01,0.01,30.0,1.117588731289897,1.1659688118189084
238,8,0.1,0.01,0.01,40.0,1.1235004579111338,1.1831846263865047
239,8,0.1,0.01,0.01,50.0,1.1159064672883234,1.1780529983856194
240,8,0.1,0.01,0.02,0.0001,0.9143743687044505,1.157806504264082
